"Sample","Time","ColonyFormingUnitsPerDroplet","Likelihood","LowerCI","UpperCI","GridSize","ExcludedWellPositions","ExcludedGridPositions","TotalExclusions"
"SPAC1F3.10c",10,0,1,0,0.320115312805095,4,"","",0
"SPAC26H5.07c",10,0,1,0,0.320115312805095,4,"","",0
"SPAC57A7.05",10,0.168229516207376,0.0275054576013431,0.00959893183630196,0.740754788440761,4,"","",0
"SPAC5D6.06c",10,0.166838674665913,0.0030309388189201,0.00951970138620834,0.734594670336857,4,"","",0
"SPBC21H7.04",10,0,1,0,0.320115312805095,4,"","",0
"SPCC162.04c",10,0,1,0,0.320115312805095,4,"","",0
"SPAC10F6.05c",10,0,1,0,0.320115312805095,4,"","",0
"SPAC144.08",10,120.818952705078,0.00681004122660837,53.5425171546762,245.989880453415,4,"","",0
"SPAC16A10.05c",10,0.405466037456268,0.131687845628391,0.0670361032739865,1.27015484969129,4,"","",0
"SPBC16E9.11c",10,3.679215363063,0.0178986425482057,1.58452501513138,7.67420125708352,4,"","",0
"SPBC215.04",10,5.00182273104371,0.0377269413483783,2.15174222524766,10.5261313302543,4,"","",0
"SPBC725.02",10,0,1,0,0.320115312805095,4,"","",0
"SPBC839.11c",10,0.353349812398808,0.0112519451099984,0.0587247484603518,1.09240161792414,4,"","",0
"SPBP8B7.25",10,3.65338879070166,0.0193751477099096,1.45276759553064,8.42177086073024,4,"","",0
"SPAC17H9.11",12,1.56746563646628,0.0107249510406497,0.604098161284614,3.3443385462308,4,"","",0
"SPAC23E2.01",12,0,1,0,0.320115312805095,4,"","",0
"SPAC8E11.07c",12,0,1,0,0.320115312805095,4,"","",0
"SPAC227.17c",12,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.13c",12,0,1,0,0.320411882453248,4,"7","",1
"SPBC23G7.06c",12,0,1,0,0.320115312805095,4,"","",0
"SPBC691.04",12,0,1,0,0.320115312805095,4,"","",0
"SPCC794.08",12,0,1,0,0.320115312805095,4,"","",0
"SPAC4F10.20",12,0,1,0,0.320115312805095,4,"","",0
"SPBC119.06",12,0,1,0,0.320115312805095,4,"","",0
"SPBC18E5.07",12,1.89838963591978,0.038897419568505,0.711342880777002,4.26383556193456,4,"","",0
"SPBC405.04c",12,0,1,0,0.320115312805095,4,"","",0
"SPBC776.15c",12,0,1,0,0.320115312805095,4,"","",0
"SPAC22F3.10c",12,0,1,0,0.320115312805095,4,"","",0
"SPBC1711.13",12,0,1,0,0.320115312805095,4,"","",0
