"row","col","size","circularity","flags","present"
1,1,350,0.8991,"",1
1,2,347,0.9612,"",1
1,3,303,0.9815,"",1
1,4,301,0.9322,"",1
1,5,270,0.9988,"",1
1,6,277,0.9395,"",1
1,7,250,0.9248,"",1
1,8,276,0.9287,"",1
1,9,280,0.8299,"",1
1,10,308,0.9129,"",1
1,11,245,0.9519,"",1
1,12,316,0.9132,"",1
1,13,155,1.0431,"",1
1,14,323,0.8026,"",1
1,15,202,0.8883,"",1
1,16,340,0.8945,"",1
1,17,0,NA,"",0
1,18,0,NA,"",0
1,19,0,NA,"",0
1,20,0,NA,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,379,0.9736,"",1
2,2,338,0.984,"",1
2,3,275,0.9078,"",1
2,4,287,0.9924,"",1
2,5,269,0.9951,"",1
2,6,283,0.9416,"",1
2,7,248,1.0046,"",1
2,8,254,0.921,"",1
2,9,272,0.8743,"",1
2,10,298,0.9578,"",1
2,11,286,0.9122,"",1
2,12,293,0.8685,"",1
2,13,190,0.9227,"",1
2,14,336,0.8349,"",1
2,15,126,0.844,"S",1
2,16,212,1.0157,"",1
2,17,235,0.8871,"",1
2,18,0,NA,"",0
2,19,0,NA,"",0
2,20,0,NA,"",0
2,21,0,NA,"",0
2,22,0,NA,"",0
2,23,0,NA,"",0
2,24,0,NA,"",0
3,1,204,0.8971,"",1
3,2,209,0.8723,"",1
3,3,181,0.9619,"",1
3,4,178,0.9236,"",1
3,5,123,0.663,"",1
3,6,129,0.3618,"S,C",1
3,7,103,0.6332,"",1
3,8,158,0.7331,"",1
3,9,52,1.2022,"",1
3,10,103,0.8172,"",1
3,11,0,NA,"",0
3,12,0,NA,"",0
3,13,0,NA,"",0
3,14,0,NA,"",0
3,15,0,NA,"",0
3,16,0,NA,"",0
3,17,0,NA,"",0
3,18,0,NA,"",0
3,19,0,NA,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,0,NA,"",0
3,24,0,NA,"",0
4,1,233,0.9725,"",1
4,2,216,1.0349,"",1
4,3,207,0.9605,"",1
4,4,208,0.9872,"",1
4,5,131,0.7572,"",1
4,6,185,0.8584,"",1
4,7,131,0.8053,"",1
4,8,181,0.8591,"",1
4,9,0,NA,"",0
4,10,120,0.8984,"",1
4,11,101,1.0888,"",1
4,12,161,0.9853,"S",1
4,13,0,NA,"",0
4,14,0,NA,"",0
4,15,0,NA,"",0
4,16,0,NA,"",0
4,17,0,NA,"",0
4,18,0,NA,"",0
4,19,0,NA,"",0
4,20,0,NA,"",0
4,21,0,NA,"",0
4,22,0,NA,"",0
4,23,0,NA,"",0
4,24,0,NA,"",0
5,1,285,0.9776,"",1
5,2,272,0.9481,"",1
5,3,229,0.9558,"",1
5,4,229,0.9357,"",1
5,5,209,0.9483,"",1
5,6,219,1.0161,"",1
5,7,174,0.8258,"",1
5,8,202,0.9678,"",1
5,9,166,0.7463,"",1
5,10,166,0.7879,"",1
5,11,198,0.8091,"",1
5,12,108,0.8936,"",1
5,13,249,0.861,"",1
5,14,0,NA,"",0
5,15,0,NA,"",0
5,16,210,1.0296,"",1
5,17,0,NA,"",0
5,18,243,0.9929,"",1
5,19,0,NA,"",0
5,20,0,NA,"",0
5,21,0,NA,"",0
5,22,0,NA,"",0
5,23,0,NA,"",0
5,24,0,NA,"",0
6,1,299,0.987,"",1
6,2,262,0.95,"",1
6,3,226,0.9235,"",1
6,4,234,0.9282,"",1
6,5,209,0.9483,"",1
6,6,228,0.9316,"",1
6,7,201,0.7973,"",1
6,8,212,0.9323,"",1
6,9,183,0.9311,"",1
6,10,227,0.882,"",1
6,11,122,0.8534,"",1
6,12,162,0.9705,"",1
6,13,128,0.9424,"S",1
6,14,117,0.9681,"",1
6,15,0,NA,"",0
6,16,0,NA,"",0
6,17,0,NA,"",0
6,18,0,NA,"",0
6,19,0,NA,"",0
6,20,0,NA,"",0
6,21,0,NA,"",0
6,22,0,NA,"",0
6,23,0,NA,"",0
6,24,0,NA,"",0
7,1,317,0.9396,"",1
7,2,267,1.0164,"",1
7,3,226,1.0254,"",1
7,4,210,0.9967,"",1
7,5,218,1.021,"",1
7,6,227,0.9475,"",1
7,7,202,0.9081,"",1
7,8,223,0.9807,"",1
7,9,199,0.8131,"",1
7,10,219,0.8366,"",1
7,11,181,0.8137,"",1
7,12,265,0.8748,"",1
7,13,219,0.9141,"",1
7,14,254,0.9588,"",1
7,15,0,NA,"",0
7,16,218,1.0115,"",1
7,17,0,NA,"",0
7,18,0,NA,"",0
7,19,0,NA,"",0
7,20,274,0.9935,"",1
7,21,0,NA,"",0
7,22,0,NA,"",0
7,23,0,NA,"",0
7,24,0,NA,"",0
8,1,320,0.9911,"",1
8,2,285,0.9935,"",1
8,3,241,0.9364,"",1
8,4,250,0.9917,"",1
8,5,228,0.9235,"",1
8,6,239,0.9852,"",1
8,7,209,0.9697,"",1
8,8,225,0.9985,"",1
8,9,215,0.8529,"",1
8,10,235,0.8521,"",1
8,11,210,0.8922,"",1
8,12,245,0.9139,"",1
8,13,131,1.0393,"",1
8,14,331,0.9398,"",1
8,15,268,0.8614,"",1
8,16,0,NA,"",0
8,17,0,NA,"",0
8,18,230,1.0115,"",1
