"row","col","size","circularity","flags","present"
1,1,393,0.9389,"",1
1,2,363,0.9714,"",1
1,3,311,0.9812,"",1
1,4,329,0.9508,"",1
1,5,283,1.006,"",1
1,6,318,0.9597,"",1
1,7,270,0.8913,"",1
1,8,309,0.9159,"",1
1,9,277,0.9216,"",1
1,10,325,0.9562,"",1
1,11,253,0.9098,"",1
1,12,282,0.8511,"",1
1,13,203,0.9126,"",1
1,14,204,1.0002,"",1
1,15,272,0.9863,"",1
1,16,0,NA,"",0
1,17,0,NA,"",0
1,18,226,1.0254,"",1
1,19,0,NA,"",0
1,20,0,NA,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,369,0.9107,"",1
2,2,319,0.9955,"",1
2,3,286,0.9264,"",1
2,4,294,0.9705,"",1
2,5,267,0.9491,"",1
2,6,278,0.9613,"",1
2,7,255,0.9433,"",1
2,8,265,0.9237,"",1
2,9,266,0.8684,"",1
2,10,292,0.8813,"",1
2,11,287,0.9124,"",1
2,12,332,0.9738,"",1
2,13,266,0.8781,"",1
2,14,365,0.8803,"",1
2,15,0,NA,"",0
2,16,228,0.8859,"",1
2,17,259,0.9391,"",1
2,18,251,0.9285,"",1
2,19,0,NA,"",0
2,20,0,NA,"",0
2,21,0,NA,"",0
2,22,272,0.9782,"",1
2,23,0,NA,"",0
2,24,0,NA,"",0
3,1,284,0.99,"",1
3,2,240,1.0106,"",1
3,3,204,0.9256,"",1
3,4,215,0.8974,"",1
3,5,147,0.942,"",1
3,6,194,0.8722,"",1
3,7,158,0.8603,"",1
3,8,203,0.8295,"",1
3,9,170,0.8068,"",1
3,10,186,0.6558,"",1
3,11,79,1.0927,"",1
3,12,180,0.9662,"",1
3,13,0,NA,"",0
3,14,232,0.8938,"",1
3,15,0,NA,"",0
3,16,0,NA,"",0
3,17,0,NA,"",0
3,18,0,NA,"",0
3,19,0,NA,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,0,NA,"",0
3,24,0,NA,"",0
4,1,274,0.9293,"",1
4,2,251,0.9957,"",1
4,3,210,0.9967,"",1
4,4,222,0.8281,"",1
4,5,183,0.9495,"",1
4,6,201,0.912,"",1
4,7,175,0.8782,"",1
4,8,204,0.9591,"",1
4,9,143,0.9367,"",1
4,10,203,0.9544,"",1
4,11,167,0.8188,"",1
4,12,108,0.9622,"",1
4,13,176,0.9042,"",1
