"row","col","size","circularity","flags","present"
1,1,507,0.8938,"",1
1,2,505,0.8903,"",1
1,3,406,0.9481,"",1
1,4,352,0.942,"",1
1,5,405,0.9458,"",1
1,6,352,0.7621,"",1
1,7,381,0.8957,"",1
1,8,364,0.9509,"",1
1,9,184,0.9547,"",1
1,10,236,0.917,"",1
1,11,0,NA,"",0
1,12,0,NA,"",0
1,13,132,0.8291,"S",1
1,14,0,NA,"",0
1,15,85,0.8565,"S",1
1,16,281,0.9989,"",1
1,17,0,NA,"",0
1,18,0,NA,"",0
1,19,0,NA,"",0
1,20,0,NA,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,544,0.9152,"",1
2,2,479,0.9642,"",1
2,3,351,0.9106,"",1
2,4,379,0.9141,"",1
2,5,335,0.8752,"",1
2,6,390,0.8575,"",1
2,7,341,0.9217,"",1
2,8,323,0.9238,"",1
2,9,306,0.8909,"",1
2,10,402,0.8264,"",1
2,11,160,1.0481,"",1
2,12,0,NA,"",0
2,13,0,NA,"",0
2,14,0,NA,"",0
2,15,0,NA,"",0
2,16,0,NA,"",0
2,17,0,NA,"",0
2,18,0,NA,"",0
2,19,0,NA,"",0
2,20,0,NA,"",0
2,21,0,NA,"",0
2,22,0,NA,"",0
2,23,0,NA,"",0
2,24,0,NA,"",0
3,1,0,NA,"",0
3,2,0,NA,"",0
3,3,0,NA,"",0
3,4,0,NA,"",0
3,5,0,NA,"",0
3,6,0,NA,"",0
3,7,0,NA,"",0
3,8,0,NA,"",0
3,9,0,NA,"",0
3,10,0,NA,"",0
3,11,0,NA,"",0
3,12,0,NA,"",0
3,13,0,NA,"",0
3,14,0,NA,"",0
3,15,0,NA,"",0
3,16,0,NA,"",0
3,17,0,NA,"",0
3,18,0,NA,"",0
3,19,0,NA,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,0,NA,"",0
3,24,0,NA,"",0
4,1,0,NA,"",0
4,2,0,NA,"",0
4,3,0,NA,"",0
4,4,0,NA,"",0
4,5,7,1.0297,"",0
4,6,0,NA,"",0
4,7,0,NA,"",0
4,8,0,NA,"",0
4,9,0,NA,"",0
4,10,0,NA,"",0
4,11,0,NA,"",0
4,12,0,NA,"",0
4,13,0,NA,"",0
4,14,0,NA,"",0
4,15,0,NA,"",0
4,16,0,NA,"",0
4,17,0,NA,"",0
4,18,0,NA,"",0
4,19,0,NA,"",0
4,20,0,NA,"",0
4,21,0,NA,"",0
4,22,0,NA,"",0
4,23,0,NA,"",0
4,24,0,NA,"",0
5,1,563,0.9472,"",1
5,2,497,0.9714,"",1
5,3,430,0.8974,"",1
5,4,373,0.8852,"",1
5,5,419,0.985,"",1
5,6,372,0.9623,"",1
5,7,375,0.9345,"",1
5,8,418,0.9108,"",1
5,9,383,0.8043,"",1
5,10,328,0.9479,"",1
5,11,179,1.0091,"",1
5,12,278,0.9429,"",1
5,13,0,NA,"",0
5,14,279,0.9038,"",1
5,15,0,NA,"",0
5,16,0,NA,"",0
5,17,0,NA,"",0
5,18,0,NA,"",0
5,19,321,0.9942,"",1
5,20,0,NA,"",0
5,21,0,NA,"",0
5,22,0,NA,"",0
5,23,0,NA,"",0
5,24,0,NA,"",0
6,1,572,0.9623,"",1
6,2,524,0.9556,"",1
6,3,453,0.9454,"",1
6,4,498,0.9593,"",1
6,5,463,0.9239,"",1
6,6,488,0.9679,"",1
6,7,409,0.9339,"",1
6,8,448,0.921,"",1
6,9,352,0.8747,"",1
6,10,437,0.8796,"",1
6,11,372,0.8887,"",1
6,12,476,0.9169,"",1
6,13,269,0.9951,"",1
6,14,413,0.9283,"",1
6,15,0,NA,"",0
6,16,0,NA,"",0
6,17,0,NA,"",0
6,18,0,NA,"",0
6,19,0,NA,"",0
6,20,0,NA,"",0
6,21,0,NA,"",0
6,22,0,NA,"",0
6,23,0,NA,"",0
6,24,0,NA,"",0
7,1,190,0.9227,"",1
7,2,134,0.9638,"",1
7,3,30,0.8984,"S",1
7,4,0,NA,"",0
