"row","col","size","circularity","flags","present"
1,1,501,0.8833,"",1
1,2,442,0.882,"",1
1,3,381,0.9626,"",1
1,4,360,0.9405,"",1
1,5,370,0.7188,"",1
1,6,323,0.8583,"",1
1,7,373,0.9359,"",1
1,8,383,0.9299,"",1
1,9,338,0.9402,"",1
1,10,350,0.8174,"",1
1,11,349,0.8904,"",1
1,12,234,0.9979,"",1
1,13,246,1.0052,"",1
1,14,0,NA,"",0
1,15,0,NA,"",0
1,16,315,0.9009,"",1
1,17,0,NA,"",0
1,18,0,NA,"",0
1,19,0,NA,"",0
1,20,0,NA,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,424,0.9593,"",1
2,2,411,0.8449,"",1
2,3,267,0.8814,"",1
2,4,299,0.9686,"",1
2,5,276,0.8871,"",1
2,6,395,0.9079,"",1
2,7,199,0.9445,"",1
2,8,388,0.9421,"",1
2,9,318,0.7669,"",1
2,10,398,0.8946,"",1
2,11,354,0.8737,"",1
2,12,388,0.9061,"",1
2,13,178,1.0288,"",1
2,14,360,0.88,"",1
2,15,232,0.9983,"",1
2,16,259,1.0063,"",1
2,17,243,0.9172,"",1
2,18,357,0.9553,"",1
2,19,0,NA,"",0
2,20,0,NA,"",0
2,21,0,NA,"",0
2,22,0,NA,"",0
2,23,0,NA,"",0
2,24,0,NA,"",0
3,1,227,0.9391,"",1
3,2,193,0.8872,"",1
3,3,172,0.3612,"C",1
3,4,131,0.5761,"C",1
3,5,0,NA,"",0
3,6,87,1.0979,"",1
3,7,115,0.8508,"",1
3,8,0,NA,"",0
3,9,65,1.0314,"",1
3,10,0,NA,"",0
3,11,58,1.1596,"",1
3,12,0,NA,"",0
3,13,28,1.2947,"",1
3,14,0,NA,"",0
3,15,0,NA,"",0
3,16,0,NA,"",0
3,17,111,1.0678,"S",1
3,18,0,NA,"",0
3,19,0,NA,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,25,0.0944,"C",1
3,24,5,1.3475,"",0
4,1,268,0.8847,"",1
4,2,247,0.8472,"",1
4,3,26,1.3328,"",1
4,4,135,0.7005,"",1
4,5,80,0.8624,"",1
4,6,167,0.9002,"",1
4,7,62,0.9838,"",1
4,8,111,0.9467,"",1
