"row","col","size","circularity","flags","present"
1,1,330,0.9608,"",1
1,2,377,0.9092,"",1
1,3,285,0.9855,"",1
1,4,323,0.9404,"",1
1,5,258,0.8921,"",1
1,6,292,0.9564,"",1
1,7,267,0.8984,"",1
1,8,311,0.9316,"",1
1,9,223,0.9308,"",1
1,10,255,0.9323,"",1
1,11,275,0.83,"",1
1,12,246,0.9477,"",1
1,13,256,0.7269,"",1
1,14,250,0.9065,"",1
1,15,0,NA,"",0
1,16,326,0.8577,"",1
1,17,0,NA,"",0
1,18,0,NA,"",0
1,19,0,NA,"",0
1,20,0,NA,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,380,0.9379,"",1
2,2,348,0.9709,"",1
2,3,304,0.9848,"",1
2,4,317,0.9818,"",1
2,5,277,0.9767,"",1
2,6,294,0.9705,"",1
2,7,274,0.9854,"",1
2,8,283,0.9167,"",1
2,9,264,0.9233,"",1
2,10,294,0.9892,"",1
2,11,277,0.932,"",1
2,12,295,0.9236,"",1
2,13,296,0.8404,"",1
2,14,307,0.7886,"",1
2,15,307,0.8215,"",1
2,16,226,0.9433,"",1
2,17,0,NA,"",0
2,18,0,NA,"",0
2,19,0,NA,"",0
2,20,0,NA,"",0
2,21,0,NA,"",0
2,22,0,NA,"",0
2,23,0,NA,"",0
2,24,0,NA,"",0
3,1,318,0.8872,"",1
3,2,315,0.9682,"",1
3,3,87,0.9379,"",1
3,4,247,0.9516,"",1
3,5,124,0.8123,"",1
3,6,206,1.01,"",1
3,7,114,1.0027,"",1
3,8,200,0.8453,"",1
3,9,150,0.9568,"",1
3,10,197,0.8743,"",1
3,11,269,0.8422,"",1
3,12,117,0.9282,"",1
3,13,0,NA,"",0
3,14,163,1.0398,"",1
3,15,216,0.9929,"",1
3,16,0,NA,"",0
3,17,0,NA,"",0
3,18,0,NA,"",0
3,19,0,NA,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,0,NA,"",0
3,24,0,NA,"",0
4,1,360,0.98,"",1
4,2,323,0.9404,"",1
4,3,282,0.9309,"",1
4,4,294,0.9971,"",1
4,5,254,0.8783,"",1
4,6,277,1.0044,"",1
4,7,261,0.9935,"",1
4,8,270,0.9988,"",1
4,9,232,0.818,"",1
4,10,317,0.9229,"",1
4,11,264,0.7767,"",1
4,12,343,0.8725,"",1
4,13,0,NA,"",0
4,14,347,0.9447,"",1
4,15,214,1.0253,"",1
4,16,222,0.998,"",1
4,17,0,NA,"",0
4,18,0,NA,"",0
4,19,0,NA,"",0
4,20,297,0.9728,"",1
4,21,0,NA,"",0
4,22,0,NA,"",0
4,23,0,NA,"",0
4,24,0,NA,"",0
5,1,260,0.935,"",1
5,2,257,0.9783,"",1
5,3,107,0.6578,"S",1
5,4,194,0.8918,"",1
5,5,86,0.8548,"",1
5,6,158,0.8907,"",1
5,7,87,0.894,"",1
5,8,164,0.8509,"",1
5,9,37,0.8554,"",1
5,10,52,1.2022,"",1
5,11,53,1.0892,"",1
5,12,87,1.0979,"",1
5,13,0,NA,"",0
5,14,0,NA,"",0
5,15,0,NA,"",0
5,16,0,NA,"",0
5,17,0,NA,"",0
5,18,0,NA,"",0
5,19,0,NA,"",0
5,20,0,NA,"",0
5,21,0,NA,"",0
5,22,0,NA,"",0
5,23,0,NA,"",0
5,24,0,NA,"",0
6,1,287,0.9297,"",1
6,2,275,0.9971,"",1
6,3,241,0.8915,"",1
6,4,246,0.9965,"",1
6,5,207,0.9306,"",1
6,6,220,0.989,"",1
6,7,189,0.9945,"",1
6,8,203,0.9126,"",1
6,9,204,0.9256,"",1
6,10,235,0.884,"",1
6,11,201,0.7228,"",1
6,12,164,0.831,"S",1
6,13,170,0.725,"",1
6,14,172,0.9942,"",1
6,15,0,NA,"",0
6,16,94,0.8484,"S",1
6,17,0,NA,"",0
6,18,0,NA,"",0
6,19,0,NA,"",0
6,20,0,NA,"",0
6,21,0,NA,"",0
6,22,129,1.0234,"",1
6,23,0,NA,"",0
6,24,0,NA,"",0
7,1,307,0.9265,"",1
7,2,297,0.9993,"",1
7,3,73,0.9716,"",1
7,4,235,0.9602,"",1
7,5,127,0.6845,"",1
7,6,176,0.8091,"",1
7,7,166,0.609,"",1
7,8,188,0.7549,"",1
7,9,82,1.1342,"",1
7,10,112,0.9552,"",1
7,11,0,NA,"",0
7,12,0,NA,"",0
7,13,250,0.9248,"",1
7,14,0,NA,"",0
7,15,0,NA,"",0
7,16,291,0.987,"",1
7,17,0,NA,"",0
7,18,0,NA,"",0
7,19,0,NA,"",0
7,20,0,NA,"",0
7,21,0,NA,"",0
7,22,0,NA,"",0
7,23,0,NA,"",0
7,24,0,NA,"",0
8,1,330,0.9781,"",1
8,2,311,0.9559,"",1
8,3,264,0.9572,"",1
8,4,276,0.9732,"",1
8,5,261,0.9935,"",1
8,6,279,1.0034,"",1
8,7,241,0.956,"",1
8,8,272,0.9863,"",1
8,9,268,0.8681,"",1
8,10,321,0.8828,"",1
8,11,232,0.8757,"",1
8,12,328,0.884,"",1
8,13,0,NA,"",0
8,14,334,0.9483,"",1
8,15,257,0.9986,"",1
8,16,0,NA,"",0
8,17,0,NA,"",0
8,18,0,NA,"",0
8,19,0,NA,"",0
8,20,0,NA,"",0
8,21,0,NA,"",0
8,22,0,NA,"",0
8,23,0,NA,"",0
8,24,0,NA,"",0
9,1,303,0.9559,"",1
9,2,289,0.954,"",1
9,3,188,0.9526,"",1
9,4,229,1.0071,"",1
9,5,89,0.8727,"",1
9,6,170,0.7888,"",1
9,7,141,0.7868,"",1
9,8,195,0.8766,"",1
9,9,83,1.0474,"",1
9,10,80,0.8061,"S",1
9,11,119,1.0279,"S",1
9,12,265,0.8916,"",1
9,13,0,NA,"",0
9,14,0,NA,"",0
9,15,0,NA,"",0
9,16,0,NA,"",0
9,17,290,0.9758,"",1
9,18,0,NA,"",0
9,19,0,NA,"",0
9,20,0,NA,"",0
9,21,0,NA,"",0
9,22,0,NA,"",0
9,23,0,NA,"",0
9,24,0,NA,"",0
10,1,325,0.9295,"",1
10,2,306,0.9235,"",1
10,3,252,0.9875,"",1
10,4,263,1.0097,"",1
10,5,217,0.9337,"",1
10,6,240,0.9325,"",1
10,7,237,0.9684,"",1
10,8,268,0.9914,"",1
10,9,206,0.7936,"",1
10,10,261,0.9278,"",1
10,11,130,0.8847,"S",1
10,12,290,0.8596,"",1
10,13,195,1.0118,"",1
10,14,0,NA,"",0
10,15,0,NA,"",0
10,16,0,NA,"",0
10,17,0,NA,"",0
10,18,0,NA,"",0
10,19,0,NA,"",0
10,20,1,Inf,"",0
10,21,0,NA,"",0
10,22,0,NA,"",0
10,23,0,NA,"",0
10,24,0,NA,"",0
11,1,319,0.988,"",1
11,2,304,0.9344,"",1
11,3,190,1.0345,"",1
11,4,245,0.9924,"",1
