"row","col","size","circularity","flags","present"
1,1,377,0.9154,"",1
1,2,379,0.9736,"",1
1,3,306,0.9235,"",1
1,4,333,0.9797,"",1
1,5,255,0.9433,"",1
1,6,298,0.9837,"",1
1,7,247,0.9597,"",1
1,8,305,0.9549,"",1
1,9,257,0.8325,"",1
1,10,290,0.8596,"",1
1,11,190,0.8621,"",1
1,12,328,0.9245,"",1
1,13,249,0.8378,"",1
1,14,307,0.9032,"",1
1,15,0,NA,"",0
1,16,240,1.0017,"",1
1,17,0,NA,"",0
1,18,260,0.9897,"",1
1,19,242,0.9135,"",1
1,20,0,NA,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,381,0.9787,"",1
2,2,352,0.975,"",1
2,3,283,0.9786,"",1
2,4,294,0.9524,"",1
2,5,265,0.9163,"",1
2,6,276,1.0008,"",1
2,7,248,0.9838,"",1
2,8,267,0.9602,"",1
2,9,248,0.8645,"",1
2,10,276,0.9213,"",1
2,11,273,0.9784,"",1
2,12,328,0.902,"",1
2,13,343,0.8217,"",1
2,14,246,0.9176,"",1
2,15,228,0.8606,"",1
2,16,208,0.9872,"",1
2,17,222,1.0073,"",1
2,18,0,NA,"",0
2,19,0,NA,"",0
2,20,0,NA,"",0
2,21,0,NA,"",0
2,22,0,NA,"",0
2,23,0,NA,"",0
2,24,0,NA,"",0
3,1,306,0.9654,"",1
3,2,260,0.9618,"",1
3,3,228,0.9235,"",1
3,4,225,0.9595,"",1
3,5,177,0.9094,"",1
3,6,198,0.9707,"",1
3,7,129,0.7845,"",1
3,8,185,0.8698,"",1
3,9,138,0.9287,"",1
3,10,154,0.8682,"",1
3,11,151,0.9383,"",1
3,12,129,0.9657,"",1
3,13,0,NA,"",0
3,14,0,NA,"",0
3,15,0,NA,"",0
3,16,203,0.9332,"",1
3,17,0,NA,"",0
3,18,0,NA,"",0
3,19,0,NA,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,0,NA,"",0
3,24,0,NA,"",0
4,1,316,0.9969,"",1
4,2,284,0.8729,"",1
4,3,242,0.9212,"",1
4,4,250,0.8815,"",1
4,5,195,1.0118,"",1
4,6,210,0.9967,"",1
4,7,186,0.7763,"",1
4,8,197,0.9886,"",1
4,9,176,0.7505,"",1
4,10,211,0.8547,"",1
4,11,177,0.8678,"",1
4,12,225,0.8742,"",1
4,13,0,NA,"",0
4,14,134,0.9482,"S",1
4,15,0,NA,"",0
4,16,286,0.7922,"",1
4,17,0,NA,"",0
4,18,0,NA,"",0
4,19,0,NA,"",0
4,20,0,NA,"",0
4,21,0,NA,"",0
4,22,0,NA,"",0
4,23,0,NA,"",0
4,24,0,NA,"",0
5,1,346,0.9039,"",1
5,2,308,0.9977,"",1
5,3,249,0.9877,"",1
5,4,257,0.9783,"",1
5,5,235,0.9809,"",1
5,6,270,0.9988,"",1
5,7,203,0.9126,"",1
5,8,236,1.0155,"",1
5,9,200,0.9367,"",1
5,10,248,0.9719,"",1
5,11,210,0.9654,"",1
5,12,284,0.8268,"",1
5,13,168,1.0065,"",1
5,14,261,0.8455,"",1
5,15,2,25.1327,"",0
5,16,0,NA,"",0
5,17,0,NA,"",0
5,18,0,NA,"",0
5,19,0,NA,"",0
5,20,0,NA,"",0
5,21,0,NA,"",0
5,22,0,NA,"",0
5,23,0,NA,"",0
5,24,0,NA,"",0
6,1,354,0.9637,"",1
6,2,319,0.97,"",1
6,3,271,0.9826,"",1
6,4,281,0.9989,"",1
6,5,252,0.9996,"",1
6,6,266,0.9758,"",1
6,7,225,0.9895,"",1
6,8,251,0.9753,"",1
6,9,227,0.9083,"",1
6,10,245,1.0011,"",1
6,11,245,0.9063,"",1
6,12,320,0.9152,"",1
6,13,140,1.0481,"",1
6,14,219,0.9222,"",1
6,15,288,1.0039,"",1
6,16,231,0.9439,"",1
6,17,0,NA,"",0
6,18,267,0.9877,"",1
6,19,0,NA,"",0
6,20,0,NA,"",0
6,21,0,NA,"",0
6,22,0,NA,"",0
6,23,0,NA,"",0
6,24,0,NA,"",0
7,1,286,0.9623,"",1
7,2,263,0.9349,"",1
7,3,225,0.8493,"",1
7,4,224,0.9851,"",1
7,5,179,0.9988,"",1
7,6,207,0.9825,"",1
7,7,163,0.8101,"",1
7,8,217,0.9975,"",1
7,9,159,0.845,"",1
7,10,201,0.963,"",1
7,11,156,1.0107,"",1
7,12,206,0.8785,"",1
7,13,198,0.9936,"",1
7,14,189,0.9484,"",1
7,15,0,NA,"",0
7,16,0,NA,"",0
7,17,0,NA,"",0
7,18,0,NA,"",0
7,19,0,NA,"",0
7,20,0,NA,"",0
7,21,0,NA,"",0
7,22,0,NA,"",0
7,23,0,NA,"",0
7,24,0,NA,"",0
8,1,326,0.9491,"",1
8,2,298,0.9837,"",1
8,3,247,0.878,"",1
8,4,258,0.9544,"",1
8,5,206,1.01,"",1
8,6,223,1.0025,"",1
8,7,213,0.9283,"",1
8,8,214,0.8932,"",1
8,9,202,0.9165,"",1
8,10,225,0.8925,"",1
8,11,196,0.8619,"",1
8,12,249,0.8955,"",1
8,13,141,1.0556,"",1
8,14,296,0.9238,"",1
8,15,0,NA,"",0
8,16,228,1.0027,"",1
8,17,0,NA,"",0
8,18,0,NA,"",0
8,19,0,NA,"",0
8,20,0,NA,"",0
8,21,0,NA,"",0
8,22,0,NA,"",0
8,23,0,NA,"",0
8,24,0,NA,"",0
9,1,237,0.998,"",1
9,2,242,1.0101,"",1
9,3,204,0.9378,"",1
9,4,216,1.0022,"",1
9,5,169,0.7946,"",1
9,6,193,0.9247,"",1
9,7,163,0.952,"",1
9,8,151,0.7505,"",1
9,9,122,0.8674,"",1
9,10,122,0.94,"",1
9,11,110,1.0113,"",1
9,12,176,0.8832,"",1
9,13,0,NA,"",0
9,14,0,NA,"",0
9,15,0,NA,"",0
9,16,0,NA,"",0
9,17,0,NA,"",0
9,18,361,0.9828,"",1
9,19,0,NA,"",0
9,20,0,NA,"",0
9,21,0,NA,"",0
9,22,0,NA,"",0
9,23,0,NA,"",0
9,24,0,NA,"",0
10,1,289,0.9362,"",1
10,2,259,0.9581,"",1
10,3,218,0.9587,"",1
10,4,225,0.8817,"",1
10,5,194,0.9967,"",1
10,6,206,0.947,"",1
10,7,150,0.7527,"",1
10,8,187,0.9384,"",1
10,9,195,0.9133,"",1
10,10,170,0.9486,"",1
10,11,0,NA,"",0
10,12,213,0.9367,"",1
10,13,0,NA,"",0
10,14,229,0.9357,"",1
10,15,0,NA,"",0
10,16,0,NA,"",0
10,17,0,NA,"",0
10,18,0,NA,"",0
10,19,0,NA,"",0
10,20,0,NA,"",0
10,21,1,Inf,"",0
10,22,0,NA,"",0
10,23,0,NA,"",0
10,24,0,NA,"",0
11,1,324,0.9603,"",1
11,2,304,0.9848,"",1
11,3,237,0.9209,"",1
11,4,245,1.0011,"",1
11,5,206,0.9777,"",1
11,6,234,0.9767,"",1
11,7,206,0.9059,"",1
11,8,240,0.9405,"",1
11,9,207,0.9221,"",1
11,10,225,0.9475,"",1
11,11,212,0.9323,"",1
11,12,214,0.9621,"",1
11,13,284,0.7787,"",1
11,14,0,NA,"",0
11,15,0,NA,"",0
11,16,322,0.8766,"",1
11,17,0,NA,"",0
11,18,0,NA,"",0
11,19,0,NA,"",0
11,20,0,NA,"",0
11,21,0,NA,"",0
11,22,0,NA,"",0
11,23,0,NA,"",0
11,24,0,NA,"",0
12,1,355,0.862,"",1
12,2,316,0.9366,"",1
12,3,254,1.0076,"",1
12,4,262,0.8487,"",1
12,5,236,1.0064,"",1
12,6,260,0.9897,"",1
12,7,221,0.9845,"",1
12,8,250,0.9325,"",1
12,9,199,0.9445,"",1
12,10,216,0.9211,"",1
12,11,202,0.9461,"",1
12,12,291,0.8625,"",1
12,13,169,0.9202,"",1
12,14,274,0.974,"",1
12,15,0,NA,"",0
12,16,0,NA,"",0
12,17,0,NA,"",0
12,18,0,NA,"",0
12,19,0,NA,"",0
12,20,3,9.4248,"",0
12,21,0,NA,"",0
12,22,0,NA,"",0
12,23,0,NA,"",0
12,24,0,NA,"",0
13,1,334,0.99,"",1
13,2,313,0.8376,"",1
13,3,236,0.9362,"",1
13,4,256,1.0032,"",1
13,5,217,0.9975,"",1
13,6,234,0.8833,"",1
13,7,201,0.8572,"",1
13,8,228,1.0027,"",1
13,9,201,0.8213,"",1
13,10,220,0.8476,"",1
13,11,103,0.947,"",1
13,12,217,0.9254,"",1
13,13,0,NA,"",0
13,14,203,1.0187,"",1
13,15,0,NA,"",0
13,16,0,NA,"",0
13,17,0,NA,"",0
13,18,302,0.9353,"",1
13,19,0,NA,"",0
13,20,0,NA,"",0
13,21,0,NA,"",0
13,22,0,NA,"",0
13,23,0,NA,"",0
13,24,0,NA,"",0
14,1,373,0.9206,"",1
14,2,330,1.0035,"",1
14,3,261,0.8852,"",1
14,4,278,1.008,"",1
14,5,234,0.9363,"",1
14,6,259,0.9391,"",1
14,7,231,0.994,"",1
14,8,253,0.8921,"",1
14,9,231,0.7988,"",1
14,10,228,0.8039,"",1
14,11,169,0.8097,"S",1
14,12,301,0.8699,"",1
14,13,161,0.9645,"",1
14,14,393,0.9389,"",1
14,15,0,NA,"",0
14,16,0,NA,"",0
14,17,0,NA,"",0
14,18,0,NA,"",0
14,19,0,NA,"",0
14,20,0,NA,"",0
14,21,0,NA,"",0
14,22,0,NA,"",0
14,23,0,NA,"",0
14,24,0,NA,"",0
15,1,358,0.9197,"",1
15,2,319,0.9287,"",1
15,3,273,0.9259,"",1
15,4,275,0.9509,"",1
15,5,217,0.879,"",1
15,6,242,0.9889,"",1
15,7,216,0.8826,"",1
15,8,221,0.9424,"",1
15,9,217,0.9372,"",1
15,10,219,0.906,"",1
15,11,90,1.0947,"",1
15,12,216,0.8568,"",1
15,13,133,0.9678,"S",1
15,14,0,NA,"",0
15,15,0,NA,"",0
15,16,0,NA,"",0
15,17,0,NA,"",0
15,18,0,NA,"",0
15,19,0,NA,"",0
15,20,0,NA,"",0
15,21,0,NA,"",0
15,22,0,NA,"",0
15,23,0,NA,"",0
15,24,0,NA,"",0
16,1,426,0.9223,"",1
16,2,390,1.0019,"",1
16,3,322,1.0049,"",1
16,4,339,0.9458,"",1
16,5,295,0.9136,"",1
16,6,320,0.9316,"",1
16,7,282,0.9943,"",1
16,8,319,0.8597,"",1
16,9,266,0.9124,"",1
16,10,282,0.9206,"",1
16,11,293,0.8777,"",1
16,12,336,0.8778,"",1
16,13,307,0.9508,"",1
16,14,356,0.8505,"",1
16,15,0,NA,"",0
16,16,0,NA,"",0
16,17,0,NA,"",0
16,18,0,NA,"",0
16,19,0,NA,"",0
16,20,0,NA,"",0
16,21,0,NA,"",0
16,22,0,NA,"",0
16,23,0,NA,"",0
16,24,0,NA,"",0
