"row","col","size","circularity","flags","present"
1,1,438,0.9339,"",1
1,2,443,0.9164,"",1
1,3,326,0.9765,"",1
1,4,378,0.9484,"",1
1,5,324,0.9603,"",1
1,6,350,0.9938,"",1
1,7,304,0.9591,"",1
1,8,364,0.9576,"",1
1,9,319,0.97,"",1
1,10,370,0.9505,"",1
1,11,271,0.9447,"",1
1,12,325,0.9633,"",1
1,13,0,NA,"",0
1,14,388,0.886,"",1
1,15,237,1.0198,"",1
1,16,304,0.9011,"",1
1,17,0,NA,"",0
1,18,276,0.9732,"",1
1,19,0,NA,"",0
1,20,0,NA,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,486,0.9698,"",1
2,2,427,0.9814,"",1
2,3,359,0.9222,"",1
2,4,358,0.9746,"",1
2,5,326,0.903,"",1
2,6,332,0.9666,"",1
2,7,311,0.9218,"",1
2,8,345,0.9796,"",1
2,9,336,0.9147,"",1
2,10,334,0.9483,"",1
2,11,281,0.9424,"",1
2,12,323,0.8583,"",1
2,13,229,0.9163,"",1
2,14,346,0.9584,"",1
2,15,308,0.8184,"",1
2,16,331,0.8362,"",1
2,17,0,NA,"",0
2,18,0,NA,"",0
2,19,2,25.1327,"",0
2,20,248,0.8411,"",1
2,21,0,NA,"",0
2,22,0,NA,"",0
2,23,0,NA,"",0
2,24,0,NA,"",0
3,1,0,NA,"",0
3,2,0,NA,"",0
3,3,0,NA,"",0
3,4,0,NA,"",0
3,5,0,NA,"",0
3,6,0,NA,"",0
3,7,0,NA,"",0
3,8,0,NA,"",0
3,9,0,NA,"",0
3,10,0,NA,"",0
3,11,0,NA,"",0
3,12,0,NA,"",0
3,13,0,NA,"",0
3,14,0,NA,"",0
3,15,0,NA,"",0
3,16,0,NA,"",0
3,17,0,NA,"",0
3,18,0,NA,"",0
3,19,2,25.1327,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,0,NA,"",0
3,24,0,NA,"",0
4,1,0,NA,"",0
4,2,0,NA,"",0
4,3,0,NA,"",0
4,4,0,NA,"",0
4,5,0,NA,"",0
4,6,0,NA,"",0
4,7,0,NA,"",0
4,8,0,NA,"",0
4,9,0,NA,"",0
4,10,0,NA,"",0
4,11,0,NA,"",0
4,12,0,NA,"",0
4,13,0,NA,"",0
4,14,0,NA,"",0
4,15,0,NA,"",0
4,16,0,NA,"",0
4,17,0,NA,"",0
4,18,0,NA,"",0
4,19,0,NA,"",0
4,20,0,NA,"",0
4,21,0,NA,"",0
4,22,0,NA,"",0
4,23,0,NA,"",0
4,24,0,NA,"",0
5,1,434,0.9604,"",1
5,2,395,0.9816,"",1
5,3,334,0.9653,"",1
5,4,324,0.9779,"",1
5,5,317,0.9067,"",1
5,6,331,0.9566,"",1
5,7,249,0.9135,"",1
5,8,322,0.9792,"",1
5,9,279,0.9313,"",1
5,10,348,0.9155,"",1
5,11,290,0.922,"",1
5,12,341,0.9753,"",1
5,13,186,0.8828,"",1
5,14,0,NA,"",0
5,15,0,NA,"",0
5,16,0,NA,"",0
5,17,0,NA,"",0
5,18,0,NA,"",0
5,19,0,NA,"",0
5,20,0,NA,"",0
5,21,0,NA,"",0
5,22,0,NA,"",0
5,23,0,NA,"",0
5,24,0,NA,"",0
6,1,457,0.9537,"",1
6,2,379,0.9575,"",1
6,3,319,0.988,"",1
6,4,323,0.9404,"",1
6,5,295,0.9067,"",1
6,6,319,0.988,"",1
6,7,290,0.9573,"",1
6,8,290,0.922,"",1
6,9,296,0.9238,"",1
6,10,344,0.9667,"",1
6,11,277,0.8903,"",1
6,12,371,0.8863,"",1
6,13,305,0.9205,"",1
6,14,316,0.9787,"",1
6,15,0,NA,"",0
6,16,0,NA,"",0
6,17,0,NA,"",0
6,18,0,NA,"",0
6,19,0,NA,"",0
6,20,0,NA,"",0
6,21,0,NA,"",0
6,22,0,NA,"",0
6,23,0,NA,"",0
6,24,0,NA,"",0
7,1,366,0.9725,"",1
7,2,339,0.9072,"",1
7,3,285,0.8894,"",1
7,4,275,0.9697,"",1
7,5,264,0.8486,"",1
7,6,257,0.9507,"",1
7,7,252,0.9063,"",1
7,8,244,0.9596,"",1
7,9,251,0.8445,"",1
7,10,291,0.8849,"",1
7,11,111,1.0205,"",1
7,12,142,0.9556,"",1
7,13,0,NA,"",0
7,14,0,NA,"",0
7,15,0,NA,"",0
7,16,0,NA,"",0
7,17,0,NA,"",0
7,18,0,NA,"",0
7,19,0,NA,"",0
7,20,0,NA,"",0
7,21,0,NA,"",0
7,22,0,NA,"",0
7,23,0,NA,"",0
7,24,0,NA,"",0
8,1,502,0.934,"",1
8,2,460,0.9179,"",1
8,3,409,0.9706,"",1
8,4,417,0.9169,"",1
8,5,374,0.9608,"",1
8,6,402,0.9604,"",1
8,7,388,0.9358,"",1
8,8,387,0.8699,"",1
8,9,371,0.8804,"",1
8,10,361,0.8243,"",1
8,11,286,0.97,"",1
8,12,256,0.9947,"",1
8,13,157,1.0284,"",1
8,14,0,NA,"",0
8,15,148,1.0235,"",1
8,16,0,NA,"",0
8,17,0,NA,"",0
8,18,0,NA,"",0
8,19,0,NA,"",0
8,20,0,NA,"",0
8,21,0,NA,"",0
8,22,0,NA,"",0
