"row","col","size","circularity","flags","present"
1,1,364,0.9089,"",1
1,2,357,0.9392,"",1
1,3,330,0.937,"",1
1,4,318,0.9426,"",1
1,5,283,0.9269,"",1
1,6,319,0.988,"",1
1,7,274,0.9583,"",1
1,8,302,0.9353,"",1
1,9,267,0.9414,"",1
1,10,315,0.8346,"",1
1,11,230,0.8579,"",1
1,12,298,0.8927,"",1
1,13,258,0.9355,"",1
1,14,344,0.8631,"",1
1,15,0,NA,"",0
1,16,0,NA,"",0
1,17,0,NA,"",0
1,18,231,0.9851,"",1
1,19,0,NA,"",0
1,20,0,NA,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,350,0.9366,"",1
2,2,323,0.9574,"",1
2,3,281,0.9716,"",1
2,4,293,0.9491,"",1
2,5,269,0.9951,"",1
2,6,296,0.9771,"",1
2,7,261,1.0055,"",1
2,8,262,0.989,"",1
2,9,256,0.9392,"",1
2,10,281,0.9455,"",1
2,11,277,0.836,"",1
2,12,316,0.9132,"",1
2,13,322,0.7818,"",1
2,14,292,0.8655,"",1
2,15,0,NA,"",0
2,16,228,0.9723,"",1
2,17,0,NA,"",0
2,18,0,NA,"",0
2,19,0,NA,"",0
2,20,0,NA,"",0
2,21,0,NA,"",0
2,22,0,NA,"",0
2,23,0,NA,"",0
2,24,25,0.2831,"C",1
3,1,265,0.9803,"",1
3,2,232,0.948,"",1
3,3,214,0.9126,"",1
3,4,202,1.0236,"",1
3,5,180,1.0404,"",1
3,6,186,1.023,"",1
3,7,179,0.9608,"",1
3,8,176,0.9261,"",1
3,9,154,0.9823,"",1
3,10,151,0.9783,"",1
3,11,141,0.6339,"",1
3,12,113,0.6872,"",1
3,13,110,0.7695,"",1
3,14,115,0.8508,"",1
3,15,0,NA,"",0
3,16,55,0.8727,"",1
3,17,0,NA,"",0
3,18,54,1.188,"",1
3,19,0,NA,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,0,NA,"",0
3,24,0,NA,"",0
4,1,270,0.9412,"",1
4,2,259,0.8956,"",1
4,3,220,1.0113,"",1
4,4,234,1.029,"",1
4,5,201,0.9854,"",1
4,6,205,0.9015,"",1
4,7,184,0.8816,"",1
4,8,198,0.8984,"",1
4,9,167,0.8496,"",1
4,10,170,0.8449,"",1
4,11,106,0.8266,"",1
4,12,155,0.6148,"",1
4,13,135,0.8746,"",1
4,14,76,1.0512,"",1
4,15,88,0.9821,"",1
4,16,0,NA,"",0
4,17,0,NA,"",0
4,18,47,0.9659,"",1
4,19,0,NA,"",0
4,20,0,NA,"",0
4,21,0,NA,"",0
4,22,0,NA,"",0
4,23,0,NA,"",0
4,24,0,NA,"",0
5,1,256,0.947,"",1
5,2,234,0.9015,"",1
5,3,200,0.9492,"",1
5,4,176,0.8832,"",1
5,5,192,0.9413,"",1
5,6,175,0.8782,"",1
5,7,174,0.6383,"",1
5,8,170,0.7315,"",1
5,9,110,0.4456,"C",1
5,10,121,0.6994,"",1
5,11,197,0.5796,"C",1
5,12,128,0.9982,"",1
5,13,103,0.9909,"",1
5,14,103,1.0584,"",1
5,15,0,NA,"",0
5,16,0,NA,"",0
5,17,0,NA,"",0
5,18,0,NA,"",0
5,19,0,NA,"",0
5,20,0,NA,"",0
5,21,0,NA,"",0
5,22,0,NA,"",0
5,23,0,NA,"",0
5,24,0,NA,"",0
6,1,266,1.0126,"",1
6,2,246,0.9286,"",1
6,3,183,0.9495,"",1
6,4,203,0.9419,"",1
6,5,166,0.9038,"",1
6,6,199,0.9445,"",1
6,7,178,0.8259,"",1
6,8,195,1.0019,"",1
6,9,107,0.7696,"",1
6,10,164,0.804,"",1
6,11,130,0.7788,"",1
6,12,152,0.7628,"",1
6,13,120,1.0235,"",1
6,14,0,NA,"",0
6,15,117,0.9396,"S",1
6,16,0,NA,"",0
6,17,0,NA,"",0
6,18,0,NA,"",0
6,19,0,NA,"",0
6,20,0,NA,"",0
6,21,0,NA,"",0
6,22,0,NA,"",0
6,23,0,NA,"",0
6,24,0,NA,"",0
7,1,360,0.9248,"",1
7,2,306,0.9836,"",1
7,3,266,0.984,"",1
7,4,256,0.947,"",1
7,5,243,0.9843,"",1
7,6,267,0.8984,"",1
7,7,244,0.9481,"",1
7,8,242,0.9484,"",1
7,9,229,0.9163,"",1
7,10,251,0.8679,"",1
7,11,248,0.7485,"",1
7,12,262,0.7907,"",1
7,13,165,0.9207,"",1
7,14,282,0.8965,"",1
7,15,0,NA,"",0
7,16,236,0.985,"",1
7,17,372,0.8494,"",1
7,18,283,0.9979,"",1
7,19,0,NA,"",0
7,20,0,NA,"",0
7,21,0,NA,"",0
7,22,0,NA,"",0
7,23,0,NA,"",0
7,24,0,NA,"",0
8,1,346,0.9653,"",1
8,2,319,1.0064,"",1
8,3,270,0.971,"",1
8,4,277,0.932,"",1
8,5,256,0.9027,"",1
8,6,267,0.9491,"",1
8,7,254,0.9869,"",1
8,8,268,0.9914,"",1
8,9,269,0.888,"",1
8,10,231,0.8975,"",1
8,11,219,0.8871,"",1
8,12,307,0.8358,"",1
8,13,146,1.0501,"",1
8,14,336,0.8778,"",1
8,15,0,NA,"",0
8,16,243,0.9639,"",1
8,17,0,NA,"",0
8,18,0,NA,"",0
8,19,0,NA,"",0
8,20,0,NA,"",0
8,21,0,NA,"",0
8,22,0,NA,"",0
8,23,0,NA,"",0
8,24,0,NA,"",0
9,1,327,0.9123,"",1
9,2,279,0.921,"",1
9,3,248,0.9838,"",1
9,4,243,0.9843,"",1
9,5,213,1.0109,"",1
9,6,248,0.9174,"",1
9,7,208,0.8322,"",1
9,8,233,0.9725,"",1
9,9,219,0.8871,"",1
9,10,204,0.8699,"",1
9,11,221,0.7103,"",1
9,12,267,0.8717,"",1
9,13,173,0.9999,"",1
9,14,276,0.8775,"",1
9,15,0,NA,"",0
9,16,0,NA,"",0
9,17,0,NA,"",0
9,18,0,NA,"",0
9,19,0,NA,"",0
9,20,0,NA,"",0
9,21,0,NA,"",0
9,22,0,NA,"",0
9,23,0,NA,"",0
9,24,0,NA,"",0
10,1,329,0.9825,"",1
10,2,298,0.9401,"",1
10,3,249,0.9399,"",1
10,4,262,0.9314,"",1
10,5,224,0.9153,"",1
10,6,248,0.944,"",1
10,7,230,0.9685,"",1
10,8,245,0.9719,"",1
10,9,219,0.9631,"",1
10,10,230,0.8176,"",1
10,11,238,0.8731,"",1
10,12,264,0.9385,"",1
10,13,129,0.8921,"",1
10,14,153,1.0296,"",1
10,15,200,0.8795,"",1
10,16,278,0.9354,"",1
10,17,0,NA,"",0
10,18,0,NA,"",0
10,19,0,NA,"",0
10,20,0,NA,"",0
10,21,0,NA,"",0
10,22,0,NA,"",0
10,23,0,NA,"",0
10,24,0,NA,"",0
11,1,337,0.9402,"",1
11,2,277,0.8806,"",1
11,3,240,0.9325,"",1
11,4,237,0.9209,"",1
11,5,245,0.9248,"",1
11,6,245,0.9803,"",1
11,7,206,0.8977,"",1
11,8,257,0.8815,"",1
11,9,222,0.838,"",1
11,10,214,0.7916,"",1
11,11,218,0.8908,"",1
11,12,240,0.7861,"",1
11,13,0,NA,"",0
11,14,382,0.8643,"",1
11,15,0,NA,"",0
11,16,0,NA,"",0
11,17,0,NA,"",0
11,18,0,NA,"",0
11,19,0,NA,"",0
11,20,0,NA,"",0
11,21,0,NA,"",0
11,22,0,NA,"",0
11,23,0,NA,"",0
11,24,0,NA,"",0
12,1,333,0.9524,"",1
12,2,293,0.9749,"",1
12,3,244,0.9481,"",1
12,4,262,0.9692,"",1
12,5,244,0.9763,"",1
12,6,254,0.9396,"",1
12,7,237,0.9022,"",1
12,8,257,0.8815,"",1
12,9,176,0.8275,"",1
12,10,216,0.8826,"",1
12,11,164,0.9722,"",1
12,12,204,0.9256,"",1
12,13,212,0.9204,"",1
12,14,256,0.8139,"",1
12,15,0,NA,"",0
12,16,196,0.9302,"",1
12,17,0,NA,"",0
12,18,0,NA,"",0
12,19,0,NA,"",0
12,20,0,NA,"",0
12,21,0,NA,"",0
12,22,0,NA,"",0
12,23,0,NA,"",0
12,24,0,NA,"",0
13,1,267,0.9877,"",1
13,2,250,0.9917,"",1
13,3,216,1.0116,"",1
13,4,218,1.0021,"",1
13,5,189,0.9266,"",1
13,6,201,0.9414,"",1
13,7,133,0.6521,"",1
13,8,166,0.7463,"",1
13,9,150,0.8986,"",1
13,10,163,0.8101,"",1
13,11,185,0.7042,"",1
13,12,121,0.8703,"",1
13,13,0,NA,"",0
13,14,0,NA,"",0
13,15,0,NA,"",0
13,16,200,1.0134,"",1
13,17,0,NA,"",0
13,18,0,NA,"",0
13,19,0,NA,"",0
13,20,0,NA,"",0
13,21,0,NA,"",0
13,22,0,NA,"",0
13,23,0,NA,"",0
13,24,0,NA,"",0
14,1,296,0.9588,"",1
14,2,258,0.9355,"",1
14,3,229,1.0071,"",1
14,4,238,0.9247,"",1
14,5,206,0.8944,"",1
14,6,212,0.9837,"",1
14,7,201,0.8389,"",1
14,8,219,0.8687,"",1
14,9,189,0.897,"",1
14,10,129,1.0111,"",1
14,11,163,0.7736,"",1
14,12,160,0.9248,"",1
14,13,0,NA,"",0
14,14,223,0.8923,"",1
14,15,0,NA,"",0
14,16,234,0.9979,"",1
14,17,0,NA,"",0
14,18,0,NA,"",0
14,19,0,NA,"",0
14,20,0,NA,"",0
14,21,3,9.4248,"",0
14,22,0,NA,"",0
14,23,0,NA,"",0
14,24,0,NA,"",0
15,1,380,0.9379,"",1
15,2,320,0.9658,"",1
15,3,266,1.0126,"",1
15,4,290,0.9758,"",1
15,5,244,0.9763,"",1
15,6,284,0.9128,"",1
15,7,259,0.9207,"",1
15,8,273,0.9705,"",1
15,9,238,0.9441,"",1
15,10,276,0.8393,"",1
15,11,247,0.8472,"",1
15,12,283,0.9598,"",1
15,13,259,0.8483,"",1
15,14,235,0.9896,"",1
15,15,188,0.9754,"",1
15,16,290,0.866,"",1
15,17,0,NA,"",0
15,18,0,NA,"",0
15,19,0,NA,"",0
15,20,271,0.9746,"",1
15,21,0,NA,"",0
15,22,0,NA,"",0
15,23,0,NA,"",0
15,24,0,NA,"",0
16,1,413,0.9709,"",1
16,2,379,0.9575,"",1
16,3,319,0.988,"",1
16,4,334,0.9653,"",1
16,5,302,0.9528,"",1
16,6,309,0.957,"",1
16,7,299,0.9686,"",1
16,8,308,0.9792,"",1
16,9,298,0.8994,"",1
16,10,300,0.9718,"",1
16,11,274,0.8332,"",1
16,12,328,0.8777,"",1
16,13,298,0.9159,"",1
16,14,360,0.8885,"",1
16,15,292,0.9313,"",1
