"row","col","size","circularity","flags","present"
1,1,302,0.7867,"",1
1,2,316,0.9366,"",1
1,3,0,NA,"",0
1,4,239,0.8666,"",1
1,5,0,NA,"",0
1,6,80,1.1065,"",1
1,7,133,0.9566,"",1
1,8,0,NA,"",0
1,9,0,NA,"",0
1,10,0,NA,"",0
1,11,0,NA,"",0
1,12,0,NA,"",0
1,13,0,NA,"",0
1,14,0,NA,"",0
1,15,0,NA,"",0
1,16,0,NA,"",0
1,17,0,NA,"",0
1,18,0,NA,"",0
1,19,0,NA,"",0
1,20,1,Inf,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,194,0.8273,"",1
2,2,268,0.7803,"",1
2,3,0,NA,"",0
2,4,290,0.8234,"",1
2,5,0,NA,"",0
2,6,177,0.9406,"",1
2,7,0,NA,"",0
2,8,0,NA,"",0
2,9,151,0.8728,"",1
2,10,0,NA,"",0
2,11,0,NA,"",0
2,12,0,NA,"",0
2,13,0,NA,"",0
2,14,0,NA,"",0
2,15,0,NA,"",0
2,16,0,NA,"",0
2,17,0,NA,"",0
2,18,0,NA,"",0
2,19,0,NA,"",0
2,20,0,NA,"",0
2,21,0,NA,"",0
2,22,0,NA,"",0
2,23,0,NA,"",0
2,24,0,NA,"",0
3,1,461,0.983,"",1
3,2,392,0.9094,"",1
3,3,312,0.8494,"",1
3,4,232,0.977,"",1
3,5,302,0.7577,"",1
3,6,205,0.9955,"",1
3,7,251,0.9285,"",1
3,8,138,0.9287,"",1
3,9,0,NA,"",0
3,10,0,NA,"",0
3,11,0,NA,"",0
3,12,0,NA,"",0
3,13,0,NA,"",0
3,14,0,NA,"",0
3,15,0,NA,"",0
3,16,0,NA,"",0
3,17,0,NA,"",0
3,18,0,NA,"",0
3,19,0,NA,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,0,NA,"",0
3,24,0,NA,"",0
4,1,394,0.9413,"",1
4,2,390,0.8964,"",1
4,3,269,0.9302,"",1
4,4,268,0.9017,"",1
4,5,268,0.8455,"",1
4,6,325,0.8407,"",1
4,7,138,0.9653,"",1
4,8,229,0.9558,"",1
4,9,131,0.9973,"",1
4,10,0,NA,"",0
4,11,0,NA,"",0
4,12,228,0.8859,"",1
4,13,0,NA,"",0
4,14,0,NA,"",0
4,15,0,NA,"",0
4,16,0,NA,"",0
4,17,0,NA,"",0
4,18,0,NA,"",0
4,19,0,NA,"",0
4,20,0,NA,"",0
4,21,0,NA,"",0
4,22,0,NA,"",0
4,23,0,NA,"",0
4,24,2,25.1327,"",0
5,1,190,0.9405,"",1
5,2,22,0.4521,"C",1
5,3,97,0.9642,"",1
5,4,0,NA,"",0
5,5,0,NA,"",0
5,6,0,NA,"",0
5,7,0,NA,"",0
5,8,0,NA,"",0
5,9,0,NA,"",0
5,10,0,NA,"",0
5,11,0,NA,"",0
5,12,0,NA,"",0
5,13,0,NA,"",0
5,14,0,NA,"",0
5,15,0,NA,"",0
5,16,0,NA,"",0
5,17,0,NA,"",0
5,18,0,NA,"",0
5,19,0,NA,"",0
5,20,0,NA,"",0
5,21,0,NA,"",0
5,22,0,NA,"",0
5,23,0,NA,"",0
5,24,0,NA,"",0
6,1,219,0.7512,"",1
6,2,105,0.7552,"",1
6,3,16,1.4797,"",0
6,4,27,1.2485,"",1
6,5,76,1.1114,"",1
6,6,0,NA,"",0
6,7,25,0.7486,"",1
6,8,0,NA,"",0
6,9,0,NA,"",0
6,10,0,NA,"",0
6,11,0,NA,"",0
6,12,0,NA,"",0
6,13,0,NA,"",0
6,14,0,NA,"",0
6,15,0,NA,"",0
6,16,0,NA,"",0
6,17,0,NA,"",0
6,18,0,NA,"",0
6,19,0,NA,"",0
6,20,0,NA,"",0
6,21,0,NA,"",0
6,22,0,NA,"",0
6,23,0,NA,"",0
6,24,0,NA,"",0
7,1,549,0.9546,"",1
7,2,450,0.9595,"",1
7,3,416,0.9715,"",1
7,4,378,0.9778,"",1
7,5,375,0.8959,"",1
7,6,402,0.9179,"",1
7,7,388,0.9061,"",1
7,8,418,0.8857,"",1
7,9,370,0.9505,"",1
7,10,402,0.954,"",1
7,11,362,0.8137,"",1
7,12,362,0.9524,"",1
7,13,312,0.9179,"",1
