"row","col","size","circularity","flags","present"
1,1,0,NA,NA,0
1,2,187,0.8792,NA,1
1,3,73,0.8879,NA,1
1,4,142,1.0631,NA,1
1,5,0,NA,NA,0
1,6,0,NA,NA,0
1,7,0,NA,NA,0
1,8,0,NA,NA,0
1,9,0,NA,NA,0
1,10,0,NA,NA,0
1,11,0,NA,NA,0
1,12,0,NA,NA,0
1,13,0,NA,NA,0
1,14,0,NA,NA,0
1,15,0,NA,NA,0
1,16,0,NA,NA,0
1,17,0,NA,NA,0
1,18,0,NA,NA,0
1,19,0,NA,NA,0
1,20,0,NA,NA,0
1,21,0,NA,NA,0
1,22,0,NA,NA,0
1,23,0,NA,NA,0
1,24,0,NA,NA,0
2,1,177,0.8213,NA,1
2,2,79,1.0927,NA,1
2,3,109,0.8648,NA,1
2,4,0,NA,NA,0
2,5,0,NA,NA,0
2,6,0,NA,NA,0
2,7,0,NA,NA,0
2,8,0,NA,NA,0
2,9,0,NA,NA,0
2,10,0,NA,NA,0
2,11,0,NA,NA,0
2,12,0,NA,NA,0
2,13,0,NA,NA,0
2,14,0,NA,NA,0
2,15,0,NA,NA,0
2,16,0,NA,NA,0
2,17,0,NA,NA,0
2,18,0,NA,NA,0
2,19,0,NA,NA,0
2,20,0,NA,NA,0
2,21,0,NA,NA,0
2,22,0,NA,NA,0
2,23,0,NA,NA,0
2,24,0,NA,NA,0
3,1,363,0.9108,NA,1
3,2,371,0.8584,NA,1
3,3,310,0.978,NA,1
3,4,310,0.85,NA,1
3,5,281,0.9639,NA,1
3,6,273,0.9113,NA,1
3,7,253,0.9437,NA,1
3,8,238,0.9169,NA,1
3,9,143,0.9889,NA,1
3,10,228,0.8606,NA,1
3,11,0,NA,NA,0
3,12,190,0.6699,NA,1
3,13,112,1.0631,NA,1
3,14,0,NA,NA,0
3,15,0,NA,NA,0
3,16,0,NA,NA,0
3,17,0,NA,NA,0
3,18,0,NA,NA,0
3,19,0,NA,NA,0
3,20,0,NA,NA,0
3,21,0,NA,NA,0
3,22,0,NA,NA,0
3,23,0,NA,NA,0
3,24,0,NA,NA,0
4,1,348,0.9091,NA,1
4,2,312,0.8642,NA,1
4,3,295,0.8903,NA,1
4,4,294,0.9705,NA,1
4,5,271,0.8329,NA,1
4,6,266,0.9124,NA,1
4,7,274,0.8876,NA,1
4,8,270,0.7803,NA,1
4,9,213,0.9576,NA,1
4,10,245,0.8152,NA,1
4,11,210,0.9528,NA,1
4,12,184,0.8935,NA,1
4,13,187,0.7708,NA,1
4,14,0,NA,NA,0
4,15,0,NA,NA,0
4,16,0,NA,NA,0
4,17,0,NA,NA,0
4,18,0,NA,NA,0
4,19,0,NA,NA,0
4,20,0,NA,NA,0
4,21,1,Inf,NA,0
4,22,0,NA,NA,0
4,23,0,NA,NA,0
4,24,0,NA,NA,0
5,1,327,0.9123,NA,1
5,2,287,0.9924,NA,1
5,3,186,0.7763,NA,1
5,4,228,0.9044,NA,1
5,5,207,0.8282,NA,1
5,6,152,0.8695,NA,1
5,7,41,1.2277,NA,1
5,8,160,0.902,NA,1
5,9,104,1.0337,NA,1
5,10,133,1.0552,NA,1
5,11,0,NA,NA,0
5,12,0,NA,NA,0
5,13,0,NA,NA,0
5,14,0,NA,NA,0
5,15,0,NA,NA,0
5,16,0,NA,NA,0
5,17,0,NA,NA,0
5,18,0,NA,NA,0
5,19,0,NA,NA,0
5,20,0,NA,NA,0
5,21,0,NA,NA,0
5,22,0,NA,NA,0
5,23,0,NA,NA,0
5,24,0,NA,NA,0
6,1,357,0.9326,NA,1
6,2,305,1.0068,NA,1
6,3,220,0.9675,NA,1
6,4,249,0.9675,NA,1
6,5,228,0.7328,NA,1
6,6,283,0.9522,NA,1
6,7,135,0.8299,NA,1
6,8,195,0.8316,NA,1
6,9,272,0.933,NA,1
6,10,126,1.0426,NA,1
6,11,136,0.9513,NA,1
6,12,147,0.8807,NA,1
6,13,177,1.0231,NA,1
6,14,0,NA,NA,0
6,15,0,NA,NA,0
6,16,0,NA,NA,0
6,17,0,NA,NA,0
6,18,0,NA,NA,0
6,19,0,NA,NA,0
6,20,0,NA,NA,0
6,21,0,NA,NA,0
6,22,0,NA,NA,0
6,23,0,NA,NA,0
6,24,0,NA,NA,0
7,1,267,0.9056,NA,1
7,2,333,0.9291,NA,1
7,3,180,0.7745,NA,1
7,4,227,0.9357,NA,1
7,5,250,0.8715,NA,1
7,6,209,0.9191,NA,1
7,7,0,NA,NA,0
7,8,0,NA,NA,0
7,9,0,NA,NA,0
7,10,0,NA,NA,0
7,11,0,NA,NA,0
7,12,0,NA,NA,0
7,13,0,NA,NA,0
7,14,0,NA,NA,0
7,15,0,NA,NA,0
7,16,0,NA,NA,0
7,17,0,NA,NA,0
7,18,0,NA,NA,0
7,19,0,NA,NA,0
7,20,0,NA,NA,0
7,21,0,NA,NA,0
7,22,0,NA,NA,0
7,23,0,NA,NA,0
7,24,0,NA,NA,0
8,1,384,0.9542,NA,1
8,2,307,0.9265,NA,1
8,3,248,0.8479,NA,1
8,4,317,0.8781,NA,1
8,5,173,0.7285,NA,1
8,6,306,0.7731,NA,1
8,7,0,NA,NA,0
8,8,302,0.9969,NA,1
8,9,0,NA,NA,0
8,10,281,0.9276,NA,1
8,11,0,NA,NA,0
8,12,0,NA,NA,0
8,13,0,NA,NA,0
8,14,0,NA,NA,0
8,15,0,NA,NA,0
8,16,0,NA,NA,0
8,17,0,NA,NA,0
8,18,0,NA,NA,0
8,19,0,NA,NA,0
8,20,0,NA,NA,0
8,21,0,NA,NA,0
8,22,0,NA,NA,0
8,23,0,NA,NA,0
8,24,0,NA,NA,0
9,1,377,0.8804,NA,1
9,2,332,0.9427,NA,1
9,3,263,0.8519,NA,1
9,4,243,0.8085,NA,1
9,5,0,NA,NA,0
9,6,365,0.872,NA,1
9,7,0,NA,NA,0
9,8,0,NA,NA,0
9,9,459,0.8715,NA,1
9,10,0,NA,NA,0
9,11,0,NA,NA,0
9,12,0,NA,NA,0
9,13,0,NA,NA,0
9,14,0,NA,NA,0
9,15,0,NA,NA,0
9,16,0,NA,NA,0
9,17,0,NA,NA,0
9,18,0,NA,NA,0
9,19,0,NA,NA,0
9,20,0,NA,NA,0
9,21,0,NA,NA,0
9,22,0,NA,NA,0
9,23,0,NA,NA,0
9,24,0,NA,NA,0
10,1,432,0.9622,NA,1
10,2,387,0.9617,NA,1
10,3,340,0.859,NA,1
10,4,360,0.9312,NA,1
10,5,333,0.8163,NA,1
10,6,270,0.9085,NA,1
10,7,375,0.87,NA,1
10,8,325,0.9002,NA,1
10,9,231,0.9439,NA,1
10,10,0,NA,NA,0
10,11,0,NA,NA,0
10,12,0,NA,NA,0
10,13,0,NA,NA,0
10,14,0,NA,NA,0
10,15,0,NA,NA,0
10,16,0,NA,NA,0
10,17,0,NA,NA,0
10,18,0,NA,NA,0
10,19,0,NA,NA,0
10,20,0,NA,NA,0
10,21,0,NA,NA,0
10,22,0,NA,NA,0
10,23,0,NA,NA,0
10,24,0,NA,NA,0
11,1,259,0.8715,NA,1
11,2,183,0.8768,NA,1
11,3,141,0.9596,NA,1
11,4,92,1.0793,NA,1
11,5,59,0.9938,NA,1
11,6,107,0.9837,NA,1
11,7,0,NA,NA,0
11,8,0,NA,NA,0
11,9,0,NA,NA,0
11,10,0,NA,NA,0
11,11,0,NA,NA,0
11,12,0,NA,NA,0
11,13,0,NA,NA,0
11,14,0,NA,NA,0
11,15,0,NA,NA,0
11,16,0,NA,NA,0
11,17,0,NA,NA,0
11,18,0,NA,NA,0
11,19,0,NA,NA,0
11,20,0,NA,NA,0
11,21,0,NA,NA,0
11,22,0,NA,NA,0
11,23,0,NA,NA,0
11,24,0,NA,NA,0
12,1,268,0.8847,NA,1
12,2,243,0.8739,NA,1
12,3,205,0.8132,NA,1
12,4,269,0.8782,NA,1
12,5,69,1.0948,NA,1
12,6,256,0.9282,NA,1
12,7,0,NA,NA,0
12,8,123,1.0359,NA,1
12,9,0,NA,NA,0
12,10,0,NA,NA,0
12,11,0,NA,NA,0
12,12,0,NA,NA,0
12,13,0,NA,NA,0
12,14,0,NA,NA,0
12,15,0,NA,NA,0
12,16,0,NA,NA,0
12,17,0,NA,NA,0
12,18,0,NA,NA,0
12,19,0,NA,NA,0
12,20,0,NA,NA,0
12,21,0,NA,NA,0
12,22,0,NA,NA,0
12,23,2,25.1327,NA,0
12,24,0,NA,NA,0
13,1,0,NA,NA,0
13,2,174,0.9474,NA,1
13,3,130,0.9897,NA,1
13,4,0,NA,NA,0
13,5,0,NA,NA,0
13,6,0,NA,NA,0
13,7,0,NA,NA,0
13,8,0,NA,NA,0
13,9,0,NA,NA,0
13,10,1,Inf,NA,0
13,11,0,NA,NA,0
13,12,0,NA,NA,0
13,13,0,NA,NA,0
13,14,0,NA,NA,0
13,15,0,NA,NA,0
13,16,0,NA,NA,0
13,17,0,NA,NA,0
13,18,0,NA,NA,0
13,19,0,NA,NA,0
13,20,0,NA,NA,0
13,21,0,NA,NA,0
13,22,0,NA,NA,0
13,23,0,NA,NA,0
13,24,0,NA,NA,0
14,1,207,0.9825,NA,1
14,2,238,0.9169,NA,1
14,3,175,0.8385,NA,1
14,4,124,0.8123,NA,1
14,5,0,NA,NA,0
14,6,0,NA,NA,0
14,7,0,NA,NA,0
14,8,0,NA,NA,0
14,9,0,NA,NA,0
14,10,0,NA,NA,0
14,11,0,NA,NA,0
14,12,0,NA,NA,0
14,13,0,NA,NA,0
14,14,0,NA,NA,0
14,15,0,NA,NA,0
14,16,0,NA,NA,0
14,17,0,NA,NA,0
14,18,0,NA,NA,0
14,19,0,NA,NA,0
14,20,0,NA,NA,0
14,21,0,NA,NA,0
14,22,0,NA,NA,0
14,23,0,NA,NA,0
14,24,0,NA,NA,0
15,1,426,0.889,NA,1
15,2,388,0.9511,NA,1
15,3,328,0.8426,NA,1
15,4,376,0.9129,NA,1
15,5,338,0.8892,NA,1
15,6,390,0.8766,NA,1
15,7,182,0.9351,NA,1
15,8,324,0.8381,NA,1
15,9,0,NA,NA,0
15,10,309,0.9396,NA,1
15,11,327,0.9944,NA,1
15,12,0,NA,NA,0
15,13,0,NA,NA,0
15,14,0,NA,NA,0
15,15,0,NA,NA,0
15,16,0,NA,NA,0
15,17,0,NA,NA,0
15,18,2,25.1327,NA,0
15,19,0,NA,NA,0
15,20,0,NA,NA,0
15,21,0,NA,NA,0
15,22,0,NA,NA,0
15,23,0,NA,NA,0
15,24,0,NA,NA,0
16,1,487,0.9659,NA,1
16,2,442,0.9484,NA,1
16,3,384,0.8768,NA,1
16,4,383,0.8421,NA,1
16,5,353,0.961,NA,1
16,6,390,0.871,NA,1
16,7,334,0.9319,NA,1
16,8,202,1.0137,NA,1
16,9,353,0.8513,NA,1
16,10,333,0.87,NA,1
16,11,0,NA,NA,0
16,12,0,NA,NA,0
16,13,0,NA,NA,0
16,14,0,NA,NA,0
16,15,0,NA,NA,0
16,16,0,NA,NA,0
16,17,0,NA,NA,0
16,18,0,NA,NA,0
16,19,0,NA,NA,0
16,20,0,NA,NA,0
16,21,0,NA,NA,0
16,22,0,NA,NA,0
16,23,0,NA,NA,0
16,24,0,NA,NA,0
